Name,Category,Price,Description,OriginalPrice,OfferDescription,IsCashOffer,ImageUrl,IsFeatured
SAL FINA COLOSAL X 500G.,Varios,11000,varios,11000,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
YATASTO YOGUR X LITRO ,Varios,1350,varios,1350,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
QUESO CREMOSO DON LUCIANO,Varios,6350,varios,6350,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
YERBA INDUMAR X 1 KG,Varios,21700,varios,21700,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
DE LA HUERTA PURE TOMATE 530G,Varios,10350,varios,10350,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
HUEVO  BLANCO X 1 MAPL,Varios,5900,varios,5900,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
FIESTA MAYONESA X 100 CC,Varios,6950,varios,6950,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
MUSLO SOYCHU  YQF X 15 TRANSF/TARJETA/ REP,Varios,38750,varios,38750,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
PLUMAR PAPEL HIGIENICO 50MTS,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
POLLO X CAJA,Varios,56000,varios,56000,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
VINO UVITA X1 L.,Varios,19800,varios,19800,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LAVANDINA SEDILEE X1L.,Varios,9374,varios,9374,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
POROTO X 25 KG,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BABYSEC ULTRASEC M X 48// G X 40  // XG X 32// XXG X 26- 30,Varios,40972,varios,40972,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
SOL PAMPEANO FIDEOS GUISEROS 500G,Varios,10984,varios,10984,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
MAIZ MOLIDO X BOLSA,Varios,11500,varios,11500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CACIQUE JABON PAN BCO,Varios,16950,varios,16950,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LECHE YATASTO DESC. LARGA VIDA 1 LTS,Varios,14500,varios,14500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
SURTIDO BAGLEY X 400G,Varios,43000,varios,43000,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
KLICK ARROZ X 1 KG,Varios,11827,varios,11827,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
HUEVO   BLANCO X 1/2 CAJA,Varios,30450,varios,30450,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
QUESO BARRA X HORMA,Varios,7500,varios,7500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ALFAJOR  TRIPLE   LAS COLONIAS B,Varios,8884,varios,8884,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
GALLINA X CAJA X 20 KG,Varios,43000,varios,43000,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ASTRO JABON VERDE X 150G,Varios,8500,varios,8500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CALIPSO NORMAL X 8,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
DIA YOGUR X LITRO X 900,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
YERBA MATE ROJO X 1KG. F.,Varios,11200,varios,11200,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
GOLONDRINA LEVADURA  X 50G,Varios,4720,varios,4720,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ARCOR GALL. DIVERSION X 400G,Varios,43824,varios,43824,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
POROTO X 5 KG,Varios,0,varios,0,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CORTE UNICO DE VACA X 5 KG,Varios,8250,varios,8250,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
